"URL","Page Title","Description","Tags"
"http://cs231n.stanford.edu","CS231n: Convolutional Neural Networks for Visual Recognition","Stanford's flagship computer vision course covering CNNs, deep learning for images, and visual recognition","course,university,stanford,computer-vision,deep-learning,cnn,academic"
"http://phontron.com/class/nn4nlp2021","CMU Neural Networks for NLP","Carnegie Mellon course on neural networks for natural language processing applications","course,university,cmu,nlp,neural-networks,academic"
"http://web.stanford.edu/class/cs224n","CS224n: Natural Language Processing with Deep Learning","Stanford's comprehensive NLP course using deep learning techniques","course,university,stanford,nlp,deep-learning,academic"
"https://academy.openai.com","OpenAI Academy","Free AI education platform by OpenAI with workshops, tutorials, and community learning","platform,openai,free,community,workshops,beginner-friendly"
"https://academy.openai.com/public/content","OpenAI Academy Content","Public educational content and resources from OpenAI Academy","content,openai,tutorials,free,educational-materials"
"https://ai.cmu.edu","AI at CMU","Carnegie Mellon University's central hub for artificial intelligence research and education","university,cmu,research,ai-hub,academic"
"https://ai.google/education","Google AI Education","Google's educational resources and courses for artificial intelligence","google,education,corporate,beginner-friendly,free"
"https://ai.stanford.edu/stanford-ai-courses","Stanford AI Courses","Collection of Stanford's artificial intelligence courses and educational materials","university,stanford,course-collection,academic"
"https://alison.com/course/artificial-intelligence-for-beginners","Artificial Intelligence for Beginners - Alison","Free introductory AI course covering basic concepts and applications","course,free,beginner,certification,online-platform"
"https://alison.com/course/machine-learning-with-artificial-intelligence","Machine Learning with Artificial Intelligence - Alison","Comprehensive course combining ML and AI concepts with practical applications","course,free,machine-learning,certification,online-platform"
"https://alison.com/course/the-complete-artificial-intelligence-masterclass","Complete Artificial Intelligence Masterclass - Alison","Advanced AI course covering comprehensive topics from basics to advanced applications","course,free,advanced,masterclass,certification"
"https://arxiv.org/list/cs.AI/recent","arXiv AI Papers","Latest artificial intelligence research papers and preprints","research,papers,academic,cutting-edge,preprints"
"https://aws.amazon.com/blogs/machine-learning/category/artificial-intelligence/generative-ai","AWS ML Blog - Generative AI","AWS Machine Learning blog posts focused on generative AI developments and tutorials","blog,aws,generative-ai,machine-learning,corporate,tutorials"
"https://aws.amazon.com/training/learn-about/machine-learning","AWS Machine Learning Training","Amazon Web Services training courses and resources for machine learning","aws,cloud,corporate,certification,hands-on"
"https://bbycroft.net/llm","LLM Visualization","Interactive visualization of Large Language Model architecture and operations","visualization,llm,interactive,educational,architecture"
"https://brilliant.org/courses/artificial-neural-networks","Artificial Neural Networks - Brilliant","Interactive course on neural networks with visual explanations and problem-solving","course,interactive,neural-networks,visual,problem-solving"
"https://brilliant.org/courses/machine-learning","Machine Learning - Brilliant","Interactive machine learning course with hands-on problem solving","course,interactive,machine-learning,visual,problem-solving"
"https://buildingai.elementsofai.com","Building AI - Elements of AI","Practical course on building AI applications and understanding implementation","course,free,practical,building,finland-university"
